Date,Open,High,Low,Close,Volume,Name
2006-01-03,26.250.000,27.000.000,26.100.000,26.840.000,79973000,MSFT
2006-01-04,26.770.000,27.080.000,26.770.000,26.969.999,57975600,MSFT
2006-01-05,26.959.999,27.129.999,26.910.000,26.990.000,48245500,MSFT
2006-01-06,26.889.999,27.000.000,26.490.000,26.910.000,100963000,MSFT
2006-01-09,26.930.000,27.070.000,26.760.000,26.860.001,55625000,MSFT
2006-01-10,26.650.000,27.020.000,26.590.000,27.000.000,64921900,MSFT
2006-01-11,27.010.000,27.389.999,26.900.000,27.290.001,70120700,MSFT
2006-01-12,27.250.000,27.260.000,26.969.999,27.139.999,45994800,MSFT
2006-01-13,27.030.001,27.250.000,27.010.000,27.190.001,41418000,MSFT
2006-01-17,26.900.000,27.190.001,26.900.000,26.990.000,58566600,MSFT
2006-01-18,26.740.000,26.980.000,26.700.001,26.830.000,52376200,MSFT
2006-01-19,26.870.001,27.240.000,26.850.000,27.020.000,60367600,MSFT
2006-01-20,27.010.000,27.010.000,26.260.000,26.410.000,79165900,MSFT
2006-01-23,26.410.000,26.530.001,26.299.999,26.350.000,47925600,MSFT
2006-01-24,26.340.000,26.450.001,26.219.999,26.280.001,63040700,MSFT
2006-01-25,26.410.000,26.570.000,26.230.000,26.400.000,59072100,MSFT
2006-01-26,26.559.999,26.719.999,26.309.999,26.500.000,69509300,MSFT
2006-01-27,27.230.000,27.950.001,27.190.001,27.790.001,134520700,MSFT
2006-01-30,27.820.000,28.180.000,27.780.001,28.000.000,103999200,MSFT
2006-01-31,27.910.000,28.379.999,27.870.001,28.150.000,94841300,MSFT
2006-02-01,27.959.999,28.070.000,27.760.000,28.040.001,68448800,MSFT
2006-02-02,27.969.999,27.990.000,27.549.999,27.680.000,55073400,MSFT
2006-02-03,27.480.000,27.700.001,27.340.000,27.540.001,75022700,MSFT
2006-02-06,27.510.000,27.540.001,27.090.000,27.170.000,60170500,MSFT
2006-02-07,26.950.001,27.150.000,26.809.999,26.940.001,72159500,MSFT
2006-02-08,27.010.000,27.080.000,26.709.999,26.910.000,51795200,MSFT
2006-02-09,26.959.999,27.030.001,26.650.000,26.660.000,52861700,MSFT
2006-02-10,26.620.001,26.889.999,26.510.000,26.690.001,52127000,MSFT
2006-02-13,26.629.999,26.700.001,26.340.000,26.389.999,46707000,MSFT
2006-02-14,26.410.000,26.680.000,26.350.000,26.650.000,58432900,MSFT
2006-02-15,26.600.000,26.930.000,26.500.000,26.879.999,62808900,MSFT
2006-02-16,26.850.000,26.900.000,26.570.000,26.809.999,48868500,MSFT
2006-02-17,26.670.000,26.809.999,26.559.999,26.700.001,41513200,MSFT
2006-02-21,26.719.999,26.719.999,26.340.000,26.540.001,50216100,MSFT
2006-02-22,26.530.001,26.860.001,26.469.999,26.719.999,43043100,MSFT
2006-02-23,26.730.000,26.889.999,26.540.001,26.660.000,47359100,MSFT
2006-02-24,26.590.000,26.740.000,26.520.000,26.629.999,44753800,MSFT
2006-02-27,26.750.000,27.260.000,26.670.000,27.049.999,51301500,MSFT
2006-02-28,26.950.001,27.299.999,26.870.001,26.870.001,65036100,MSFT
2006-03-01,26.980.000,27.200.001,26.950.001,27.139.999,53061200,MSFT
2006-03-02,27.020.000,27.100.000,26.900.000,26.969.999,41850300,MSFT
2006-03-03,26.809.999,27.160.000,26.740.000,26.930.000,45218800,MSFT
2006-03-06,26.920.000,27.150.000,26.830.000,26.910.000,53054100,MSFT
2006-03-07,26.900.000,27.100.000,26.809.999,27.059.999,51613900,MSFT
2006-03-08,26.990.000,27.500.000,26.969.999,27.250.000,57547400,MSFT
2006-03-09,27.270.000,27.420.000,27.000.000,27.000.000,45360700,MSFT
2006-03-10,27.059.999,27.219.999,26.879.999,27.170.000,41297200,MSFT
2006-03-13,27.180.000,27.290.001,26.940.001,27.110.001,40342600,MSFT
2006-03-14,27.040.001,27.379.999,26.990.000,27.230.000,39821800,MSFT
2006-03-15,27.200.001,27.450.001,27.010.000,27.360.001,57152000,MSFT
2006-03-16,27.340.000,27.480.000,27.219.999,27.270.000,73793700,MSFT
2006-03-17,27.350.000,27.660.000,27.270.000,27.500.000,120615000,MSFT
2006-03-20,27.700.001,27.990.000,27.670.000,27.889.999,67094100,MSFT
2006-03-21,27.740.000,28.219.999,27.680.000,27.740.000,73199600,MSFT
2006-03-22,27.080.000,27.500.000,26.799.999,27.150.000,145696100,MSFT
2006-03-23,27.080.000,27.100.000,26.660.000,26.850.000,73682900,MSFT
2006-03-24,26.709.999,27.209.999,26.620.001,27.010.000,69157600,MSFT
2006-03-27,27.010.000,27.299.999,27.000.000,27.010.000,59908600,MSFT
2006-03-28,27.010.000,27.209.999,26.809.999,26.900.000,58520500,MSFT
2006-03-29,26.950.001,27.200.001,26.920.000,27.020.000,53150300,MSFT
2006-03-30,27.030.001,27.389.999,27.000.000,27.230.000,54612000,MSFT
2006-03-31,27.299.999,27.540.001,27.209.999,27.209.999,62190500,MSFT
2006-04-03,27.670.000,27.730.000,27.440.001,27.559.999,57605300,MSFT
2006-04-04,27.600.000,27.799.999,27.469.999,27.639.999,45470000,MSFT
2006-04-05,27.879.999,27.940.001,27.639.999,27.740.000,41539300,MSFT
2006-04-06,27.660.000,27.719.999,27.370.001,27.559.999,51885500,MSFT
2006-04-07,27.610.001,27.719.999,27.230.000,27.250.000,47249400,MSFT
2006-04-10,27.230.000,27.440.001,27.200.001,27.290.001,39432000,MSFT
2006-04-11,27.290.001,27.320.000,27.000.000,27.129.999,42953400,MSFT
2006-04-12,27.100.000,27.200.001,26.969.999,27.200.001,32183000,MSFT
2006-04-13,27.080.000,27.200.001,27.000.000,27.070.000,28160000,MSFT
2006-04-17,27.030.001,27.049.999,26.730.000,26.840.000,35796200,MSFT
2006-04-18,26.940.001,27.500.000,26.820.000,27.219.999,56272700,MSFT
2006-04-19,27.110.001,27.190.001,26.959.999,27.030.001,45111100,MSFT
